State 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989
AL 123.2 119.6 119.1 116.3 113.0 114.5 116.3 114.0 112.1 105.6
AK 134.0 144.0 148.3 146.9 133.6 128.9 126.3 110.4 80.0 94.4
AZ 126.8 113.8 113.5 111.1 107.1 107.1 107.9 106.1 102.2 96.8
AR 131.8 128.7 127.4 128.0 123.1 125.8 126.0 122.3 121.5 118.3
CA 120.2 118.6 115.4 110.8 104.8 102.8 99.7 97.5 90.1 82.4
CO 131.0 133.8 130.5 125.3 119.7 112.4 109.9 102.4 94.6 88.8
CT 118.0 116.4 114.7 114.1 112.5 111.0 108.5 109.0 104.8 100.6
DE 150.5 152.6 154.1 149.6 144.0 144.5 142.4 141.0 137.1 131.7
DC 129.7 131.9 132.0 124.5 124.6 122.1 117.2 113.0 105.4 101.1
FL 139.0 132.8 131.8 127.6 124.7 124.2 124.7 125.1 119.5 113.8
GA 134.0 131.7 131.2 128.6 126.3 128.8 129.0 129.3 124.1 117.1
Hl 89.4 85.6 77.7 80.0 75.7 69.8 61.2 54.7 55.6 57.4
ID 115.2 114.1 111.5 111.3 103.6 100.7 96.7 95.0 84.5 78.4
IL 135.2 133.0 130.7 127.9 124.0 121.6 118.2 109.5 107.6 104.6
IN 146.9 148.5 147.7 143.0 137.8 135.3 137.6 134.0 134.0 132.5
IA 124.6 132.9 116.2 115.6 111.2 109.4 104.1 101.1 100.2 94.4
KS 127.1 132.0 130.9 127.6 121.7 115.7 109.4 105.2 103.2 96.5
KY 215.3 209.7 210.6 201.1 183.2 182.4 179.8 171.2 173.2 171.6
LA 143.8 144.0 143.9 133.7 128.9 125.0 121.2 116.5 110.9 103.6
ME 141.2 138.9 139.5 135.4 135.5 127.9 119.0 125.0 125.0 122.4
MD 131.5 137.1 131.3 128.2 122.5 121.9 121.8 119.3 115.0 109.0
MA 120.5 123.2 122.3 119.8 116.0 117.2 115.8 113.8 111.7 104.4
Ml 140.7 139.5 137.3 128.3 128.2 126.6 126.5 122.1 121.1 116.6
MN 117.7 120.8 119.4 113.2 110.8 113.0 104.8 108.8 94.1 92.3
MS 127.0 125.3 125.8 122.3 116.4 115.3 113.2 110.0 109.0 108.3
MO 142.1 140.5 139.7 134.1 130.0 129.2 128.8 128.7 127.4 122.8
MT 122.0 121.1 122.4 113.7 110.1 103.6 97.8 91.7 87.1 86.2
NE 116.3 117.0 117.1 110.8 107.7 105.1 103.1 101.3 92.9 93.8
NV 177.7 171.9 165.1 159.2 136.6 146.7 142.6 147.7 141.9 137.9
NH 247.8 245.4 239.8 232.9 215.1 201.1 195.9 195.1 180.4 172.9
NJ 124.3 127.9 126.3 121.3 117.8 116.9 115.5 111.6 107.8 103.0
NM 102.7 103.0 97.5 96.3 88.9 88.0 88.2 82.3 77.7 74.4
NY 127.6 130.1 128.5 124.6 119.3 115.9 114.0 108.9 106.2 100.1
NC 187.8 179.3 179.0 169.7 160.6 156.3 154.4 150.5 146.0 139.3
ND 123.7 125.7 126.8 119.6 109.4 103.2 99.8 92.3 87.1 84.1
OH 133.5 132.8 134.0 130.0 127.1 126.7 126.3 124.6 122.4 118.6
OK 141.6 143.7 147.0 140.0 128.1 124.2 119.9 113.1 103.6 97.5
OR 146.5 143.1 135.3 124.6 118.0 118.6 112.0 108.9 108.2 106.6
PA 124.0 125.2 123.3 125.3 115.3 115.8 113.9 110.6 107.6 107.1
Rl 149.3 151.2 146.3 135.8 136.9 133.4 136.3 124.4 138.0 120.8
SC 138.3 136.1 136.0 131.1 127.0 125.4 126.6 126.6 124.4 122.4
SD 114.7 115.7 113.0 109.8 105.7 104.4 97.0 95.8 91.9 87.4
TN 130.4 129.1 131.4 129.0 125.1 128.7 107.9 130.6 125.3 124.7
TX 129.7 129.0 131.2 126.4 117.2 115.9 113.7 105.8 96.5 94.5
UT 74.8 77.6 73.6 69.0 66.3 66.5 64.4 67.7 55.0 57.0
VT 161.6 163.8 162.3 153.8 144.3 144.5 131.2 128.3 128.7 120.9
VA 148.9 149.9 147.4 144.7 136.8 134.6 135.8 133.0 129.5 122.5
WA 101.4 112.7 106.6 102.4 96.2 96.5 94.2 91.3 88.2 86.1
WV 122.3 120.5 119.8 115.7 111.9 109.1 112.1 107.5 109.1 104.0
Wl 117.6 119.9 115.6 106.3 105.6 107.0 105.4 106.0 102.6 100.3
WY 158.1 163.1 157.7 141.2 128.9 125.7 124.8 110.4 114.3 111.4
